CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
480697988;566184281;89535415;35809710;27710;0;10240
468042686;550808527;90900829;34401252;17944;0;10560
469266499;558970432;98499747;37393420;34302;0;10880
497045969;599636771;110482627;42898355;22583;0;11200
518062028;623152580;114751598;43826983;43824;0;11520
573857967;698209577;132480679;52186436;25574;0;11840
616370126;745167648;139317209;53815044;59692;0;12160
671561513;817135847;155033904;60996042;71045;0;12480
677554845;828175431;159907794;63196833;68603;0;12800
763673155;932666130;180219265;70818234;76232;0;13120
749830783;930510130;191931332;75769065;76293;0;13440
841689618;1040816305;210068920;83681715;81481;0;13760
791368030;996890880;216377559;86315756;78797;0;14080
904564151;1138331375;243501208;98372599;85876;0;14400
910870226;1151984172;252564722;101385430;86365;0;14720
976938173;1245239854;277457664;113008687;93262;0;15040
1081098673;1361158503;287688595;118228518;97473;0;15360
1121767941;1429675600;316370894;129891233;104797;0;15680
1186154984;1505588247;330562265;134663942;105529;0;16000
1265218868;1615934279;361837392;147824014;108093;0;16320
1334237978;1687048476;367037940;148761531;111755;0;16640
1408101742;1795013288;400434644;163066251;124817;0;16960
1462656961;1853419267;409393423;164356367;124145;0;17280
1560561130;1989834566;444699484;180921030;132385;0;17600
1649077443;2073684205;443034388;178974480;132201;0;17920
1736047252;2216034304;498163153;202258748;142761;0;18240
1822858675;2312072267;511574313;205857498;149047;0;18560
1936199206;2467669891;550949579;223916893;154113;0;18880
1986015485;2500584785;545757148;216459003;161193;0;19200
2118872871;2700938459;606675815;245009882;167725;0;19520
2211293961;2805131796;625290880;249555161;168701;0;19840
2358272589;3008471363;677049780;273845339;182128;0;20160
2844638897;3582140915;787834287;307035438;200988;0;20480
2563546416;3270602650;740217282;297446154;208496;0;20800
2682041901;3407858280;764219785;304720206;209167;0;21120
2808725414;3582695235;812130428;325374095;231994;0;21440
2836611024;3604292226;816898849;322890565;238464;0;21760
3047937754;3900086208;894611113;358410966;267150;0;22080
3092124774;3966447915;920681786;368140606;288634;0;22400
3280691186;4219282167;983609909;395191500;301207;0;22720
3313687318;4260718219;985957926;400444911;289367;0;23040
3534588730;4562133096;1079349959;432952417;325683;0;23360
3658735385;4726916060;1118477972;450404404;331237;0;23680
3845789349;4975851825;1182222255;476408027;352233;0;24000
3841433159;4969473667;1187706066;475980963;343505;0;24320
4121410042;5340394715;1276985317;513772794;374877;0;24640
4247356680;5504620796;1321221532;530179116;389525;0;24960
4465856914;5794004759;1395334745;559640245;402281;0;25280
4612832063;5978697768;1417867159;577819975;400267;0;25600
4772613820;6199560850;1498946480;601514575;434996;0;25920
4850052525;6300669050;1534032389;611041992;425475;0;26240
5121662181;6653288510;1613712544;645239508;454161;0;26560
5099959296;6618197352;1604650799;639953077;446715;0;26880
5500454485;7139224277;1727907686;690740976;479491;0;27200
5571039754;7226730950;1752533478;697577207;481688;0;27520
5949368498;7720872569;1865899703;746921240;550048;0;27840
5963740897;7723131108;1840160938;743799752;494384;0;28160
6353346833;8239854761;1992056240;794268913;545287;0;28480
6468615948;8385260150;2031041248;807287159;539183;0;28800
6840920597;8857597320;2130623330;848567312;577452;0;29120
6691291953;8679787167;2107930334;838260891;544738;0;29440
7270223210;9423554184;2273092204;906861998;610350;0;29760
7374574016;9546475561;2302054226;914784661;606138;0;30080
7735351840;10014836727;2411901906;959570230;652586;0;30400
8785202119;11324006289;2623202880;1073678261;699584;0;30720
8320637269;10756459402;2578672964;1025238636;669066;0;31040
8403348238;10855657451;2614847493;1031182759;678404;0;31360
8829931619;11407300692;2754084624;1083280119;717894;0;31680
9059004946;11687625597;2813385986;1106044820;704039;0;32000
9492887564;12263713417;2976384104;1163138256;770627;0;32320
9712618935;12549073770;3072246224;1188539169;758238;0;32640
10138880783;13100248995;3188652726;1241085970;809324;0;32960
9995369431;12887871120;3130132856;1215846759;739561;0;33280
10546465188;13621960245;3349520356;1287771981;814207;0;33600
9997603984;13362830964;3559632916;1419724848;956541;0;33920
9914775277;13513699841;3789327030;1522412007;1053831;0;34240
9687262005;13238525009;3749975568;1508849822;1033323;0;34560
10430613251;14270504117;4027825443;1625605946;1137936;0;34880
10509148878;14361829322;4071764479;1630358291;1156979;0;35200
10954691194;14971266666;4239552257;1698212986;1202511;0;35520
11314390041;15399837285;4268356382;1736951843;1201413;0;35840
11623853910;15843466215;4481060733;1782612285;1233335;0;36160
11820111464;16091914249;4535879990;1804535899;1286252;0;36480
12342705158;16786955439;4719329898;1875279992;1345456;0;36800
12197637598;16545836182;4649400451;1841687620;1286496;0;37120
13064568117;17736147894;4959212524;1969552313;1397336;0;37440
13110364997;17778437092;5009790520;1968418629;1389645;0;37760
13742235388;18622768549;5221644164;2054828172;1468319;0;38080
13795482689;18634815027;5147675115;2050302817;1386593;0;38400
14534123926;19670632992;5508546140;2161913613;1476437;0;38720
14619220875;19761296029;5543576201;2163892483;1468930;0;39040
15429967457;20847326941;5818805722;2279895085;1544918;0;39360
15172922217;20444156708;5689021630;2226585252;1521358;0;39680
15882547842;21426487324;5953413287;2331819263;1596187;0;40000
16369311915;22073106701;6125163092;2400259901;1667415;0;40320
18282456005;23928617820;6184127845;2362628505;1572506;0;40640
21877497643;28099514735;6957715526;2568968901;1709468;0;40960
